cid,author_handle,author_avatar_url,created_at,text,reply_count,like_count
bafyreih7rllnxrfsghemui5rm2k2hnkcpbtcxkkpfnnaou3keyywryghnm,jacob.gold,https://cdn.bsky.app/img/avatar/plain/did:plc:tpg43qhh4lw4ksiffs4nbda3/bafkreiaf3xaenjv6vwbjlz62xk5doj44gnzzaorftjrqvvaqgcn5r7xomy@jpeg,2026-01-23T04:56:26.744Z,This blog post is a cautionary tale of the disaster that is trying to scale PostgreSQL beyond its limits. I firmly expect to have someone cite it to me as an example of how PostgreSQL scales extremely well.,1,7
bafyreicdy6on44imj755oj3lpjy6grrlu3jeuy6i2g3to2dhzjl7mxqlzi,mtn2seafc.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:yg6d4ztdr7muarwdqusl72se/bafkreiagi4ppwls72qu7nlqskdnlal5aiofxzf7zl5ofkg6swpefgmtbwa@jpeg,2026-01-23T02:16:01.413Z,"You can the Mountains to Sea FC feed, made with @skyfeed.app ✨ #atproto bsky.app/profile/did:...",0,2
bafyreidk46dsojd6fkuiyyzjdkyvwdqnj7b5lazg54dzz3wgudmogbmpoq,distributed.camp,https://cdn.bsky.app/img/avatar/plain/did:plc:ya2boguixgy4757qqtw7gwch/bafkreieukgqy6x52ljulykqdqsyuaifc4ireqp7wayitap2wtgn5k2f7d4@jpeg,2026-01-23T01:35:45.786Z,"I was pretty subtle about it in my first weekly write-up, but now I’ll be direct. More of you should be sending money to @dollspace.gay and @juli.ee #bluesky #atproto",0,8
bafyreiblupl33qk542futvllite5k7vnw2tld4ftgbowzwerj5zyqsn5ne,basker.bio,https://cdn.bsky.app/img/avatar/plain/did:plc:uw2cz5hnxy2i6jbmh6t2i7hi/bafkreiafalblk7yalq4drdtzqsfjrpclysfja3r4je7ledoexoaiyv7mii@jpeg,2026-01-23T01:04:15.043Z,"If you're looking for something #decentralized, #free and #simple then you should give Basker a try. It uses Blueskys #atprotocol and is fully #decentralized and user focused. Give it a try at Basker.bio",0,2
bafyreibeqbjkzvlpvaq4fqxjom5irvvya4p2ajavacfxwjol36y4lzn5p4,mvdan.cc,https://cdn.bsky.app/img/avatar/plain/did:plc:ukgxxswlrrpehvj4clus6rld/bafkreicakmgkxr2h2mk3zlcdmqmziipc2xoo3s4cibtwpkkhmjxhapqj5y@jpeg,2026-01-23T00:35:53.459Z,Interesting expansion of generics in #golang 👀,1,11
bafyreiggojq3s27yahuk6ctvyhkfut7gmkiw44tmrmyhabzvgdqlpxh6we,wjmaggos.liberal.city.ap.brid.gy,https://cdn.bsky.app/img/avatar/plain/did:plc:tu5mcgb2rtnafl6gfc53ozmg/bafkreidzq3rbahzkgyisz4tu744nohbw4oze4y36ibkm3vlxp3kcqhfsqy@jpeg,2026-01-22T23:51:08.000Z,"Imagine there was a competing protocol for podcasting. Would that help or hurt the medium? I say that in light of #ATproto and #ActivityPub, but also now seeing people who I thought were fedi folks, use something I think is called ""smoke signal"" instead of #owncast which has been around longer […]",0,0
bafyreido3djoiv225e4lwub7oadfsegrgib6l7tsdokehdqvtl56ajcnjm,xiangul.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:dvzscwk5ja7w73gskwye6u7w/bafkreigg5zltnwunlyybbqtvilci4a6ofyzr2y34be6hieouzsr45hoyya@jpeg,2026-01-22T23:26:58.315Z,"Es gibt die App (webseite, Apps), dann das Protokoll auch für die PDS (atproto) und Feed Generatoren wie man bei Discover sehen kann. Einmal hier der Quellcode von allem: github.com/bluesky-social",1,1
bafyreiei7xewmimhoyexrqrbbdqruhm2w57u7gmmpma3xggp3li2apm63e,vegandroid.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:zmdk74qov5y6ouh2vsooiqkl/bafkreib24b756p4xdhnemkolkyucwdgjgce2hcbl35ke6awpqszalkawom@jpeg,2026-01-22T23:18:54.976Z,I have no idea what I'm doing here but I'm open to suggestions if you wanna throw a prompt my way that I can hand over to Google Jules #ATProto #BlueskyAI #LLM github.com/UtopianFutur...,1,0
bafyreicmz5ruymbtus3dpq3yjqketn2tdhs43nhze7wrqgzi6fviuqcslu,nibushibu.social.vivaldi.net.ap.brid.gy,https://cdn.bsky.app/img/avatar/plain/did:plc:ae5p22qyz45j2mmuz4o2ebz4/bafkreicctnialesgiukpiyqbd2y67djyhyagqrev7pyc77lx2gxwlq65pu@jpeg,2026-01-22T23:10:01.000Z,W っていう新しい SNS、 X 対抗という意味なんだろうけどネーミングからして X カウンター感を感じるな。 #ATProtocol 対応らしい https://cybernews.com/tech/europe-social-media-w/,1,0
bafyreiehmwbjbnidyz3bhdt6dpp3vcojhaidyhuxui3bbndbvfo6t6auna,snorre.io,https://cdn.bsky.app/img/avatar/plain/did:plc:o34f4av7ed7szx24dqm4x3g6/bafkreigqtctdjnw727k4nicmf7r5tlwthz2a6xwkptt4npy6i6fxncmlsu@jpeg,2026-01-22T23:11:44.291Z,"So I spent 30 minutes setting up a self-hosted umami.is instance to track traffic to my website. Pretty nice, you just need Postgres to store data. Probably not quite as performant at analytics queries as Plausible which uses Clickhouse, but should be more than good enough for my small site.",1,1
bafyreidumxdifhu3zm2xq5khb6sorh6alu6qt2jpu2vtcgaajqasd5x2qe,mackuba.eu,https://cdn.bsky.app/img/avatar/plain/did:plc:oio4hkxaop4ao4wz2pp3f4cr/bafkreih3ddfaud6ggiajsypubkkl75mkqphrmu2ew6nejgnrspbhygmk2q@jpeg,2026-01-22T19:03:07.237Z,"Do you know if it's possible to have this in an external embed card, or does the API catch it?",2,0
